LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK
CPL,Boys U9 Division 8,Cincinnati West CWSC BU9 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4229824
CPL,Boys U9 Division 8,Cincy SC Cincy SC B17-18 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4189857
CPL,Boys U9 Division 8,Fairfield Optimist Soccer Club FOSC Lebanon Warrior Premier B17/18 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4191351
CPL,Boys U9 Division 8,Independence SC ISC U9B Cobras,https://system.gotsport.com/org_event/events/55642/schedules?team=4186544
CPL,Boys U9 Division 9,Cincinnati United Soccer Club CUSC BU9 South Flamengo,https://system.gotsport.com/org_event/events/55642/schedules?team=4192083
CPL,Boys U9 Division 9,Alliance Cincinnati SC ACSC Boys U9 Academy,https://system.gotsport.com/org_event/events/55642/schedules?team=4192318
CPL,Boys U9 Division 9,Impact GFC Valhalla FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4192857
CPL,Boys U9 Division 9,Mercury BSC Premier B17/18,https://system.gotsport.com/org_event/events/55642/schedules?team=4099015
CPL,Boys U9 Division 9,Lakota Futbol Club Lakota FC B17/18 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4166238
CPL,Boys U9 Division 9,Total Ginga Academy Total Ginga Academy U9B Black (KY),https://system.gotsport.com/org_event/events/55642/schedules?team=4159506
CPL,Boys U9 Division 10,Little Miami FC LMFC U9 Boys Gold,https://system.gotsport.com/org_event/events/55642/schedules?team=4134615
CPL,Boys U9 Division 10,Kings Hammer Cincinnati KHA NKY BU9 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4138156
CPL,Boys U9 Division 10,Campbell Soccer Club (CSC) CampbellSC U9B Neises,https://system.gotsport.com/org_event/events/55642/schedules?team=4175180
CPL,Boys U9 Division 10,Kings Hammer Cincinnati KHA Sycamore BU9 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4239641
CPL,Boys U9 Division 10,STAR Rush Cincinnati STAR Rush BU9 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4190661
CPL,Boys U9 Division 10,Kolping SC Kolping SC B36 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4191194
CPL,Boys U9 Division 10,Eclipse FC Eclipse FC Lil Mambas U9 B,https://system.gotsport.com/org_event/events/55642/schedules?team=4192233
CPL,Boys U9 Division 10,Edgewood Premier FC EPFC U8 Boys,https://system.gotsport.com/org_event/events/55642/schedules?team=4192135
CPL,Boys U9 Division 1,Mercury Westside FC 2017/2018,https://system.gotsport.com/org_event/events/55642/schedules?team=4079944
CPL,Boys U9 Division 1,Kings Hammer Cincinnati KHA NKY BU9 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4137790
CPL,Boys U9 Division 1,Cincinnati United Soccer Club CUSC BU9 North LM Aston Villa,https://system.gotsport.com/org_event/events/55642/schedules?team=4159764
CPL,Boys U9 Division 1,Cincinnati United Soccer Club CUSC BU9 North SM Aberdeen,https://system.gotsport.com/org_event/events/55642/schedules?team=4159736
CPL,Boys U9 Division 1,Cincinnati United Soccer Club CUSC BU9 South Argentinos Jrs,https://system.gotsport.com/org_event/events/55642/schedules?team=4192067
CPL,Boys U9 Division 1,FC Storm FC Storm BU9 Loveland Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4161047
CPL,Boys U9 Division 2,Cincinnati United Soccer Club CUSC BU9 South Boca Jrs,https://system.gotsport.com/org_event/events/55642/schedules?team=4192072
CPL,Boys U9 Division 2,Lakota Futbol Club Lakota FC B17/18 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4165713
CPL,Boys U9 Division 2,Fairfield Optimist Soccer Club FOSC B17/18 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4191127
CPL,Boys U9 Division 2,FC Storm FC Storm BU9 IH Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4161862
CPL,Boys U9 Division 2,Madeira FC Madeira FC BU9 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4175520
CPL,Boys U9 Division 2,Cincy SC Cincy SC B17-18 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4189724
CPL,Boys U9 Division 3,NWC Alliance Soccer Club NWC Alliance 2036 Boys Arsenal,https://system.gotsport.com/org_event/events/55642/schedules?team=4100566
CPL,Boys U9 Division 3,Kings Hammer Cincinnati KHA Sycamore BU9 Green,https://system.gotsport.com/org_event/events/55642/schedules?team=4155911
CPL,Boys U9 Division 3,Cincinnati United Soccer Club CUSC BU9 North LM Brentford,https://system.gotsport.com/org_event/events/55642/schedules?team=4159767
CPL,Boys U9 Division 3,Independence SC ISC U9B Kentucky Strikers,https://system.gotsport.com/org_event/events/55642/schedules?team=4186498
CPL,Boys U9 Division 3,STAR Rush Cincinnati STAR Rush BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4190627
CPL,Boys U9 Division 3,Cincy Galaxy SC Cincy Galaxy U9B Academy Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4191848
CPL,Boys U9 Division 3,Cincinnati United Soccer Club CUSC BU9 South Club America,https://system.gotsport.com/org_event/events/55642/schedules?team=4192075
CPL,Boys U9 Division 3,Real Soccer FC Real Soccer FC B2018,https://system.gotsport.com/org_event/events/55642/schedules?team=4256029
CPL,Boys U9 Division 3,Cincinnati United Soccer Club CUSC BU9 North SM Bournemouth,https://system.gotsport.com/org_event/events/55642/schedules?team=4159754
CPL,Boys U9 Division 4,NKY Gunners Athletic Club NKY Gunners Athletic Club B17/18,https://system.gotsport.com/org_event/events/55642/schedules?team=4122534
CPL,Boys U9 Division 4,Kings Hammer Cincinnati KHA NKY BU9 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4138105
CPL,Boys U9 Division 4,Cincinnati United Soccer Club CUSC BU9 North SM Coventry City,https://system.gotsport.com/org_event/events/55642/schedules?team=4159759
CPL,Boys U9 Division 4,Cincinnati Elite FC Cincinnati Elite FC BU09 Gold (2017/18),https://system.gotsport.com/org_event/events/55642/schedules?team=4170684
CPL,Boys U9 Division 4,FC Dayton FC Dayton U9 Boys Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4171704
CPL,Boys U9 Division 4,Cincy SC Cincy SC B17-18 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4189759
CPL,Boys U9 Division 4,Cincinnati United Soccer Club CUSC BU9 South Defensor,https://system.gotsport.com/org_event/events/55642/schedules?team=4192078
CPL,Boys U9 Division 5,FC Storm FC Storm BU9 Loveland White,https://system.gotsport.com/org_event/events/55642/schedules?team=4161052
CPL,Boys U9 Division 5,Madeira FC Madeira FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4175524
CPL,Boys U9 Division 5,Cincinnati Grand Futbol Cincinnati Grand Futbol Club Boys (U9),https://system.gotsport.com/org_event/events/55642/schedules?team=4190378
CPL,Boys U9 Division 5,Oak Hills Youth Athletics Oak Hills Premier Boys U9,https://system.gotsport.com/org_event/events/55642/schedules?team=4190490
CPL,Boys U9 Division 5,Kolping SC Kolping SC B36 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4191191
CPL,Boys U9 Division 5,Cincinnati United Soccer Club CUSC BU9 South Estudiantes,https://system.gotsport.com/org_event/events/55642/schedules?team=4192080
CPL,Boys U9 Division 5,Cincinnati United Soccer Club CUSC BU9 WEST AJAX,https://system.gotsport.com/org_event/events/55642/schedules?team=4205061
CPL,Boys U9 Division 5,Mercury Mercury B2017/18 West,https://system.gotsport.com/org_event/events/55642/schedules?team=4192191
CPL,Boys U9 Division 6,Little Miami FC LMFC U9 Boys Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4134614
CPL,Boys U9 Division 6,Kings Hammer Cincinnati KHA NKY BU9 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4138127
CPL,Boys U9 Division 6,Cincinnati United Soccer Club CUSC BU9 North LM Crystal Palace,https://system.gotsport.com/org_event/events/55642/schedules?team=4159771
CPL,Boys U9 Division 6,FC Storm FC Storm BU9 IH White,https://system.gotsport.com/org_event/events/55642/schedules?team=4161863
CPL,Boys U9 Division 6,Inner Cincinnati SA Inner Cincinnati U9,https://system.gotsport.com/org_event/events/55642/schedules?team=4175054
CPL,Boys U9 Division 6,Cincinnati United Soccer Club CUSC BU9 North SM Dundee United,https://system.gotsport.com/org_event/events/55642/schedules?team=4188931
CPL,Boys U9 Division 6,Cincy SC Cincy SC B17-18 Navy,https://system.gotsport.com/org_event/events/55642/schedules?team=4189851
CPL,Boys U9 Division 6,Fairfield Optimist Soccer Club FOSC Lebanon Warrior Premier B17/18 Maroon,https://system.gotsport.com/org_event/events/55642/schedules?team=4192174
CPL,Boys U9 Division 7,NWC Alliance Soccer Club NWC Alliance 2036 Boys Chelsea,https://system.gotsport.com/org_event/events/55642/schedules?team=4100576
CPL,Boys U9 Division 7,Total Futbol Academy (OH) TFA B2017-18 Premier,https://system.gotsport.com/org_event/events/55642/schedules?team=4145718
CPL,Boys U9 Division 7,Total Ginga Academy Total Ginga Academy U9B Blue (KY),https://system.gotsport.com/org_event/events/55642/schedules?team=4159501
CPL,Boys U9 Division 7,FC Dayton FC Dayton U9 Boys Navy,https://system.gotsport.com/org_event/events/55642/schedules?team=4171838
CPL,Boys U9 Division 7,On Goal Passion FC Passion FC 2017/2018B Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4169969
CPL,Boys U9 Division 7,Lakota Futbol Club Lakota FC B17/18 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4178401
CPL,Boys U9 Division 7,Cincy SC Cincy SC B17-18 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4189853
CPL,Boys U9 Division 7,Campbell Soccer Club (CSC) CampbellSC U9B Stadtmiller,https://system.gotsport.com/org_event/events/55642/schedules?team=4175193
CPL,Boys U9 Division 8,Kings Hammer Cincinnati KHA Sycamore BU9 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4155914
CPL,Boys U9 Division 8,Elevate FC Elevate FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4158176
CPL,Boys U9 Division 8,Total Ginga Academy Total Ginga Academy U9B (OH),https://system.gotsport.com/org_event/events/55642/schedules?team=4159546
CPL,Boys U9 Division 8,FC Storm FC Storm BU9 Loveland Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4161055
CPL,Boys U9 Division 8,Lord's Gym Price Hill Lord's Gym F.C. BU9,https://system.gotsport.com/org_event/events/55642/schedules?team=4175479
CPL,Boys U9 Division 8,Cincinnati West CWSC BU9 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4229824
CPL,Boys U9 Division 8,Cincy SC Cincy SC B17-18 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4189857
CPL,Boys U9 Division 8,Fairfield Optimist Soccer Club FOSC Lebanon Warrior Premier B17/18 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4191351
CPL,Boys U9 Division 8,Independence SC ISC U9B Cobras,https://system.gotsport.com/org_event/events/55642/schedules?team=4186544
CPL,Boys U9 Division 9,Cincinnati United Soccer Club CUSC BU9 South Flamengo,https://system.gotsport.com/org_event/events/55642/schedules?team=4192083
CPL,Boys U9 Division 9,Alliance Cincinnati SC ACSC Boys U9 Academy,https://system.gotsport.com/org_event/events/55642/schedules?team=4192318
CPL,Boys U9 Division 9,Impact GFC Valhalla FC BU9 Blue,https://system.gotsport.com/org_event/events/55642/schedules?team=4192857
CPL,Boys U9 Division 9,Mercury BSC Premier B17/18,https://system.gotsport.com/org_event/events/55642/schedules?team=4099015
CPL,Boys U9 Division 9,Lakota Futbol Club Lakota FC B17/18 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4166238
CPL,Boys U9 Division 9,Total Ginga Academy Total Ginga Academy U9B Black (KY),https://system.gotsport.com/org_event/events/55642/schedules?team=4159506
CPL,Boys U9 Division 10,Little Miami FC LMFC U9 Boys Gold,https://system.gotsport.com/org_event/events/55642/schedules?team=4134615
CPL,Boys U9 Division 10,Kings Hammer Cincinnati KHA NKY BU9 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4138156
CPL,Boys U9 Division 10,Campbell Soccer Club (CSC) CampbellSC U9B Neises,https://system.gotsport.com/org_event/events/55642/schedules?team=4175180
CPL,Boys U9 Division 10,Kings Hammer Cincinnati KHA Sycamore BU9 Gray,https://system.gotsport.com/org_event/events/55642/schedules?team=4239641
CPL,Boys U9 Division 10,STAR Rush Cincinnati STAR Rush BU9 White,https://system.gotsport.com/org_event/events/55642/schedules?team=4190661
CPL,Boys U9 Division 10,Kolping SC Kolping SC B36 Black,https://system.gotsport.com/org_event/events/55642/schedules?team=4191194
CPL,Boys U9 Division 10,Eclipse FC Eclipse FC Lil Mambas U9 B,https://system.gotsport.com/org_event/events/55642/schedules?team=4192233
CPL,Boys U9 Division 10,Edgewood Premier FC EPFC U8 Boys,https://system.gotsport.com/org_event/events/55642/schedules?team=4192135
CPL,Boys U10 Division 1,Lawrenceburg Greendale Soccer Club LGSC Red Hawks,https://system.gotsport.com/org_event/events/55642/schedules?team=4116615
CPL,Boys U10 Division 1,Kings Hammer Cincinnati KHA Sycamore BU10 Green,https://system.gotsport.com/org_event/events/55642/schedules?team=4155825
CPL,Boys U10 Division 1,Kings Hammer Cincinnati KHA NKY BU10 Red,https://system.gotsport.com/org_event/events/55642/schedules?team=4120319
CPL,Boys U10 Division 1,Cincinnati United Soccer Club CUSC BU10 South Boca Jrs,https://system.gotsport.com/org_event/events/55642/schedules?team=4192088
CPL,Boys U10 Division 1,Cincinnati United Soccer Club CUSC BU10 North SM Bournemouth,https://system.gotsport.com/org_event/events/55642/schedules?team=4159777
CPL,Boys U10 Division 1,FC Storm FC Storm BU10 Loveland Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4161066
CPL,Boys U10 Division 1,Cincinnati Elite FC Cincinnati Elite FC BU10 Elite (2016/17),https://system.gotsport.com/org_event/events/55642/schedules?team=4170699
CPL,Boys U10 Division 1,Madeira FC Madeira FC B2017 Orange,https://system.gotsport.com/org_event/events/55642/schedules?team=4172927
CPL,Boys U10 Division 2,NWC Alliance Soccer Club NWC Alliance 2035 Boys Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4100346
CPL,Boys U10 Division 2,Cincinnati West CWSC BU10 Academy Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4124496
CPL,Boys U10 Division 2,Total Futbol Academy (OH) TFA Pre-ECNL B2017-18 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4145469
CPL,Boys U10 Division 2,Fairfield Optimist Soccer Club FOSC B16/17 Elite,https://system.gotsport.com/org_event/events/55642/schedules?team=4191102
CPL,Boys U10 Division 2,Mercury Mercury B2016/17 Pre ECNL West,https://system.gotsport.com/org_event/events/55642/schedules?team=4191566
CPL,Boys U10 Division 2,Cincinnati United Soccer Club CUSC BU10 South Club America,https://system.gotsport.com/org_event/events/55642/schedules?team=4192102
CPL,Boys U10 Division 2,Kings Hammer Cincinnati KHA NKY GU10 Red-A,https://system.gotsport.com/org_event/events/55642/schedules?team=4206688
